country,confirmed,death,recovered,active,population
Afghanistan,45966,1752,36709,7505,38041754
Albania,36790,787,18152,17851,2854191
Algeria,81212,2393,52568,26251,43053054
Andorra,6610,76,5710,824,77142
Angola,15087,345,7763,6979,31825295
Antigua and Barbuda,141,4,130,7,97118
Argentina,1413375,38322,1242877,132176,44938712
Armenia,133594,2121,106479,24994,2957731
Australia,27892,907,25588,1397,25364307
Austria,275661,3018,210697,61946,8877067
Azerbaijan,114025,1323,71691,41011,10023318
Bahamas,7496,163,5830,1503,389482
Bahrain,86645,341,84785,1519,1641172
Bangladesh,460619,6580,375885,78154,163046161
Barbados,270,7,249,14,287025
Belarus,133324,1143,111455,20726,9466856
Belgium,574448,16461,0,557987,11484055
Belize,5647,144,3072,2431,390353
Benin,2974,43,2819,112,11801151
Bhutan,396,0,373,23,763092
Bolivia,144592,8949,121280,14363,11513100
Bosnia and Herzegovina,86710,2576,51068,33066,3301000
Botswana,10258,31,7717,2510,2303697
Brazil,6290272,172561,5581436,536275,211049527
Brunei,150,3,145,2,433285
Bulgaria,141747,3749,47779,90219,6975761
Burkina Faso,2816,68,2579,169,20321378
Myanmar,87977,1887,67588,18502,54045420
Burundi,681,1,575,105,11530580
Cabo Verde,10700,105,10161,434,549935
Cambodia,315,0,301,14,16486542
Cameroon,24117,437,22177,1503,25876380
Canada,368279,11993,295475,NA,37589262
Central African Republic,4913,63,1924,2926,4745185
Chad,1663,101,1504,58,15946876
Chile,548941,15322,523692,NA,18952038
China,92681,4743,86968,970,1397715000
Colombia,1299613,36401,1197204,66008,50339443
Comoros,611,7,586,18,850886
"Congo, Rep.",5774,94,4988,692,5380508
"Congo, Dem. Rep.",12608,333,11495,780,86790567
Costa Rica,137093,1690,84991,50412,5047561
Cote d'Ivoire,21261,131,20912,218,25716544
Croatia,123693,1655,98465,23573,4067500
Cuba,8173,133,7554,486,11333483
Cyprus,10231,48,2057,8126,1198575
Czech Republic,518649,8054,442327,68268,10669709
Denmark,78874,823,61977,16074,5818553
Djibouti,5676,61,5577,38,973560
Dominica,85,0,63,22,71808
Dominican Republic,142653,2328,114317,26008,10738958
